Lambda,Wave_number,eV,Epsilon,Error_Epsilon,Observation,Number_id,Author,Reference_number,Year_publication,Comments
337.0,NULL,NULL,250.00,NULL,"max. band V, shoulder",241,"GOMES & DOUGLAS FRANCO",5436,1993,NULL
338.0,NULL,NULL,797.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
338.0,NULL,NULL,759.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
338.8,NULL,NULL,4.00,NULL,"ñ vista por Douglas",699,PORTER,5439,1951,"photographic plate"
339.0,NULL,NULL,455.00,NULL,NULL,138,BUSER,4505,1952,NULL
339.3,NULL,NULL,1048.00,NULL,NULL,490,AICKIN,1452,1939,NULL
339.3,NULL,NULL,677.00,NULL,NULL,491,AICKIN,1452,1939,NULL
339.3,NULL,NULL,543.00,NULL,NULL,146,AICKIN,1452,1939,"in 1M H2SO4"
339.3,NULL,NULL,442.00,NULL,NULL,457,AICKIN,1452,1939,NULL
339.3,NULL,NULL,379.00,NULL,NULL,456,AICKIN,1452,1939,NULL
339.3,NULL,NULL,341.00,NULL,NULL,489,AICKIN,1452,1939,NULL
340.0,NULL,NULL,1250000.00,NULL,max.,381,ANBAR,1331,1964,"cit.p/Ellis, 1198(1973)"
340.0,NULL,NULL,31150.00,NULL,NULL,662,BELLUCCI,2130,1989,"by deconvolution"
340.0,NULL,NULL,5098.00,NULL,NULL,155,Petrascu,4824,1999,NULL
340.0,NULL,NULL,3575.00,NULL,NULL,661,BELLUCCI,2130,1989,"by deconvolution"
340.0,NULL,NULL,1700.00,NULL,NULL,152,RAPHAEL,2184,1988,"in 2M HClO4"
340.0,NULL,NULL,896.00,NULL,NULL,152,GILBERT,1168,1931,"from graphic"
340.0,NULL,NULL,773.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
340.0,NULL,NULL,736.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
340.0,NULL,NULL,308.00,NULL,NULL,180,GALAL-GORCHEV,1019,1965,"in KOH 0.1 M, from the chart"
340.0,NULL,NULL,278.10,NULL,NULL,180,LEE,710,1971,NULL
340.0,NULL,NULL,260.00,NULL,max,461,GALAL-GORCHEV,1019,1965,"citing refs. 1041, 1042, 1043, 1044"
340.0,NULL,NULL,255.00,NULL,max.,461,METCALF,1435,1952,"cit.p/Soulard, 686(1981)"
340.0,0,NULL,180.00,NULL,NULL,48,NIKOLELIS,5423,1977,"says it is close to the epsilon of ICl2(-)"
340.0,NULL,NULL,166.00,NULL,NULL,105,RAPHAEL,2184,1988,"in 2M HClO4"
340.0,NULL,NULL,143.00,NULL,NULL,660,BELLUCCI,2130,1989,"by deconvolution"
340.0,NULL,NULL,93.00,NULL,NULL,151,RAPHAEL,2184,1988,"in 2M HClO4"
340.0,NULL,NULL,73.70,NULL,NULL,195,LEE,710,1971,NULL
340.0,NULL,NULL,63.00,NULL,NULL,102,RAPHAEL,2184,1988,"in 2M HClO4"
340.0,NULL,NULL,56.00,NULL,NULL,146,GALAL-GORCHEV,1019,1965,"in 0.1 M HClO4, from the graph"
340.0,NULL,NULL,47.00,NULL,NULL,146,BETTS,839,1951,"in HClO4 1.66 M, from the graph"
340.0,NULL,NULL,46.00,NULL,NULL,146,RAPHAEL,2184,1988,"in 2M HClO4"
340.0,NULL,NULL,26.00,NULL,NULL,165,BETTS,839,1951,"in HClO4 1.66 M, from the graph"
340.0,NULL,NULL,23.00,NULL,NULL,165,GALAL-GORCHEV,1019,1965,"in HClO4 1E-4 M, from graph"
340.0,NULL,NULL,23.00,NULL,NULL,165,RAPHAEL,2184,1988,"in 2M HClO4"
340.0,NULL,NULL,2.00,NULL,NULL,86,TAUBE,3617,1957,NULL
340.0,NULL,NULL,NULL,NULL,max.,257,KLÄNING,4147,1984,NULL
341.7,NULL,NULL,7.00,NULL,"~347 - 6 Douglas",699,PORTER,5439,1951,"photographic plate"
342.0,NULL,NULL,747.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
342.0,NULL,NULL,712.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
343.0,NULL,NULL,275.00,NULL,max,27,GILLAM,963,1931,"cit.p/Margerum, 1000(1986)"
343.0,NULL,NULL,274.00,NULL,max,27,WANG,942,1989,"who measured and agrees with GILLAM"
343.0,NULL,NULL,243.00,NULL,max,27,CASON,297,1961,NULL
343.0,NULL,NULL,181.00,NULL,NULL,451,BUCKLES,965,1954,"cit. for WANG,942(1989)"
343.0,NULL,NULL,176.00,NULL,NULL,67,WANG,942,1989,NULL
343.0,NULL,NULL,149.00,NULL,NULL,61,WANG,942,1989,NULL
343.0,NULL,NULL,67.00,NULL,NULL,48,WANG,942,1989,NULL
344.0,NULL,NULL,721.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
344.0,NULL,NULL,686.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
344.0,NULL,NULL,189.00,NULL,NULL,452,BUCKLES,965,1954,"cit. for WANG,942(1989)"
344.0,NULL,NULL,NULL,NULL,NULL,155,UNGVARAI,778,1990,NULL
344.0,NULL,NULL,NULL,NULL,NULL,352,PORTER,5439,1951,"photographic plate"
344.1,NULL,NULL,739.00,NULL,NULL,490,AICKIN,1452,1939,NULL
344.1,NULL,NULL,700.00,NULL,NULL,146,AICKIN,1452,1939,"in 1M H2SO4"
344.1,NULL,NULL,509.00,NULL,NULL,491,AICKIN,1452,1939,NULL
344.1,NULL,NULL,405.00,NULL,NULL,457,AICKIN,1452,1939,NULL
344.1,NULL,NULL,386.00,NULL,NULL,489,AICKIN,1452,1939,NULL
344.1,NULL,NULL,385.00,NULL,NULL,456,AICKIN,1452,1939,NULL
344.3,NULL,NULL,275.00,NULL,max,27,GILLAN,963,1931,"cit. for WANG,942(1989)"
345.0,NULL,NULL,243000.00,NULL,NULL,27,CASON,297,1961,NULL
345.0,NULL,NULL,2210.00,NULL,NULL,373,DUBOIS,1232,1963,NULL
345.0,NULL,NULL,1300.00,10,NULL,105,"Wang et al",3777,1994,"cited by Cooper,2067(1993) val.diferem"
345.0,NULL,NULL,113.00,NULL,NULL,367,DUBOIS,1232,1963,NULL
345.0,NULL,NULL,60.00,NULL,"max, weak, ill-defined band",48,PAQUETTE,684,1985,"Figure 4b"
345.0,NULL,NULL,52.00,1,NULL,102,"Wang et al",3777,1994,"cited by Cooper,2067(1993) val.diferem"
346.0,NULL,NULL,693.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
346.0,NULL,NULL,658.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
346.0,NULL,NULL,362.00,NULL,"max. band IV",241,Arakaki,5460,1999,"in pH 1.1 adjusted with H2SO4, I = 0.09 M"
346.0,NULL,NULL,188.00,NULL,NULL,453,BUCKLES,965,1954,"cit. for WANG,942(1989)"
346.0,28902,0.0,NULL,NULL,"max. band IV",241,RIORDAN,6539,2005,"one of the top 10 but gives the ref. wrong (gas phase)"
347.0,0,0.0,4076.00,NULL,"max. band IV",241,RIORDAN,6539,2005,"value determined by the author"
347.0,NULL,NULL,386.00,NULL,"max. band IV",241,"GOMES & DOUGLAS FRANCO",5436,1993,NULL
347.6,NULL,NULL,784.00,NULL,NULL,146,AICKIN,1452,1939,"in 1M H2SO4"
347.6,NULL,NULL,633.00,NULL,NULL,490,AICKIN,1452,1939,NULL
347.6,NULL,NULL,449.00,NULL,NULL,457,AICKIN,1452,1939,NULL
347.6,NULL,NULL,425.00,NULL,NULL,456,AICKIN,1452,1939,NULL
347.6,NULL,NULL,418.00,NULL,NULL,491,AICKIN,1452,1939,NULL
347.6,NULL,NULL,377.00,NULL,NULL,489,AICKIN,1452,1939,NULL
348.0,NULL,NULL,662.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
348.0,NULL,NULL,630.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
348.5,NULL,NULL,NULL,NULL,NULL,352,PORTER,5439,1951,"photographic plate"
350.0,NULL,NULL,25750.00,NULL,NULL,66,PALMER,149,1984,NULL
350.0,0,NULL,25000.00,NULL,NULL,66,KIMURA,929,1990,"half order kinetic method"
350.0,0,0.0,25000.00,NULL,NULL,66,KIMURA,2124,1993,"quoting Kimura,929(1990)"
350.0,NULL,NULL,20100.00,NULL,NULL,662,BELLUCCI,2130,1989,"by deconvolution"
350.0,NULL,NULL,13000.00,NULL,shoulder,78,TROY,1163,1991,"25.0 C, Perkin-Elmer 320"
350.0,NULL,NULL,2440.00,NULL,NULL,661,BELLUCCI,2130,1989,"by deconvolution"
350.0,NULL,NULL,1056.00,NULL,NULL,152,RAPHAEL,2184,1988,"in 2M HClO4"
350.0,NULL,NULL,947.00,NULL,NULL,152,GILBERT,1168,1931,"from graphic"
350.0,NULL,NULL,900.00,NULL,max.,257,BUXTON,1337,1966,"pulse radiolysis"
350.0,NULL,NULL,800.00,NULL,max.,257,AMICHAI,3660,1970,"BrO3(-)aq pulse radiolysis"
350.0,NULL,NULL,693.00,NULL,NULL,146,GUTMANN,1433,1968," measuring by the figure"
350.0,NULL,NULL,631.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
350.0,NULL,NULL,600.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
350.0,NULL,NULL,310.00,NULL,NULL,660,BELLUCCI,2130,1989,"by deconvolution"
350.0,NULL,NULL,238.00,NULL,NULL,180,GALAL-GORCHEV,1019,1965,"in KOH 0.1 M, from the chart"
350.0,0,NULL,224.00,NULL,"log(epsilon) = 2,35",180,FARKAS,1438,1948,"estimated from the graph in log(epsilon)"
350.0,NULL,NULL,220.80,NULL,NULL,180,LEE,710,1971,NULL
350.0,NULL,NULL,121.00,NULL,NULL,105,RAPHAEL,2184,1988,"in 2M HClO4"
350.0,NULL,NULL,91.00,NULL,NULL,151,RAPHAEL,2184,1988,"in 2M HClO4"
350.0,NULL,NULL,88.00,NULL,NULL,146,GALAL-GORCHEV,1019,1965,"in 0.1 M HClO4, from the graph"
350.0,NULL,NULL,79.00,NULL,NULL,146,BETTS,839,1951,"in HClO4 1.66 M, from the graph"
350.0,NULL,NULL,76.00,NULL,NULL,146,RAPHAEL,2184,1988,"in 2M HClO4"
350.0,NULL,NULL,61.00,NULL,NULL,86,HART,3614,1983,NULL
350.0,NULL,NULL,60.40,NULL,NULL,195,LEE,710,1971,NULL
350.0,NULL,NULL,46.00,NULL,NULL,102,RAPHAEL,2184,1988,"in 2M HClO4"
350.0,NULL,NULL,22.00,NULL,NULL,165,BETTS,839,1951,"in HClO4 1.66 M, from the graph"
350.0,NULL,NULL,18.00,NULL,NULL,11,AWTREY,1842,1951,NULL
350.0,NULL,NULL,18.00,NULL,NULL,165,RAPHAEL,2184,1988,"in 2M HClO4"
350.0,NULL,NULL,17.00,NULL,NULL,165,GALAL-GORCHEV,1019,1965,"in HClO4 1E-4 M, from graph"
350.0,NULL,NULL,16.10,NULL,NULL,11,PALMER,149,1984,NULL
350.0,NULL,NULL,0.00,NULL,NULL,33,PALMER,149,1984,NULL
350.0,NULL,NULL,NULL,NULL,max.,245,KLÄNING,4147,1984,"photolysis of KClO3(aq) without O2"
350.9,NULL,NULL,2.00,NULL,"ñ vista por Douglas",699,PORTER,5439,1951,"photographic plate"
351.0,NULL,NULL,1350000.00,NULL,NULL,450,TAPUHI,157,1982,NULL
351.0,NULL,NULL,46000.00,NULL,NULL,77,"25 do Tapuhi,JACS:5758(1982)",0,1982,"WRONG SPECIES? CHECK"
351.0,NULL,NULL,27000.00,NULL,"seg. max.",66,TROY,1163,1991,"25.0 C, Perkin-Elmer 320"
351.0,NULL,NULL,11600.00,NULL,max,354,TROY,1163,1991,"in acetonitrile, citing refs 388 and 1168"
351.0,NULL,NULL,30.00,NULL,NULL,47,"25 do Tapuhi,JACS:5758(1982)",0,1982,NULL
352.0,NULL,NULL,73200000.00,NULL,"Mon. max.",66,SILVA,3544,1998,"epsilon value is too big"
352.0,NULL,NULL,26400.00,NULL,"seg. max.",66,ALLEN,353,1955,NULL
352.0,0,NULL,26400.00,NULL,"em KI 0,1 M",66,MEYERSTEIN,6225,1968,"measuring and citing refs 1470(1952) and 1471(1955)"
352.0,NULL,NULL,599.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
352.0,NULL,NULL,569.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
352.0,NULL,NULL,20.00,NULL,NULL,11,ALLEN,353,1955,NULL
352.0,NULL,NULL,NULL,NULL,"Mon. max.",66,CUSTER,413,1949,"cit. for Allen, 353 (1955)"
352.7,NULL,NULL,903.00,NULL,NULL,146,AICKIN,1452,1939,"in 1M H2SO4"
352.7,NULL,NULL,591.00,NULL,NULL,489,AICKIN,1452,1939,NULL
352.7,NULL,NULL,495.00,NULL,NULL,457,AICKIN,1452,1939,NULL
352.7,NULL,NULL,328.00,NULL,NULL,490,AICKIN,1452,1939,NULL
352.7,NULL,NULL,312.00,NULL,NULL,491,AICKIN,1452,1939,NULL
353.0,NULL,NULL,26400.00,NULL,"seg. max.",66,AWTREY,1842,1951,NULL
353.0,0,NULL,26400.00,NULL,"seg. max.",66,RAHN,6489,1991,NULL
353.0,0,NULL,26400.00,NULL,NULL,66,RAHN,6490,1997,"using iodide as an actinometer"
353.0,NULL,NULL,26200.00,NULL,"sec. max.",66,Ramette,289,1965,"epsilon grows with I-, 26000 + 2200[I-]"
353.0,NULL,NULL,25800.00,NULL,"seg. max.",66,THOMAS,689,1980,NULL
353.0,NULL,NULL,22.00,NULL,"not a max.",209,FURROW,917,1987,NULL
353.0,NULL,NULL,18.00,NULL,NULL,11,AWTREY,1842,1951,NULL
353.0,NULL,NULL,NULL,NULL,NULL,66,TURNER,437,1972,NULL
353.0,NULL,NULL,NULL,NULL,"seg. max.",66,"GROSSWEINER e MATHESON",3587,1957,"flash photolysis"
354.0,0,0.0,2293.00,16,"max. band I",242,ZUO,5465,1998,"quoted by Riordan,6539(2005)"
354.0,NULL,NULL,567.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
354.0,NULL,NULL,538.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
354.0,0,0.0,228.00,9,"max. band I",242,FISCHER,5467,1996,"quoted by Riordan,6539(2005)"
354.0,0,0.0,221.00,22,"max. band I",242,RIORDAN,6539,2005,"pi -> pi*, value from the author's Table 2"
354.3,NULL,NULL,10.00,NULL,"~358- 4 Douglas",699,PORTER,5439,1951,"photographic plate"
354.6,NULL,NULL,225.00,NULL,"max. band I",242,"STRICKLER e KASHA",5464,1963,NULL
355.0,NULL,NULL,1922.00,NULL,NULL,180,LISTER,699,1971,NULL
355.0,NULL,NULL,1000.00,10,NULL,105,"Wang et al",3777,1994,"cited by Cooper,2067(1993) val.diferem"
355.0,NULL,NULL,533.00,NULL,NULL,195,LISTER,699,1971,NULL
355.0,NULL,NULL,233.00,NULL,"max. band I",242,"WETTERS & UGLUM",5437,1970,"half neutral"
355.0,0,0.0,221.00,NULL,"max. band I",242,RIORDAN,6539,2005,"pi -> pi*, value from the author's Table 3"
355.0,NULL,NULL,86.00,NULL,"isosb. Br2/Br3(-) (aq)",146,RAPHAEL,2184,1988,"in 2M HClO4"
355.0,NULL,NULL,86.00,NULL,"isosb. Br2/Br3(-) (aq)",152,RAPHAEL,2184,1988,"in 2M HClO4"
355.0,NULL,NULL,86.00,NULL,"isosb. Br2/BrCl (aq)",146,RAPHAEL,2184,1988,"in 2M HClO4"
355.0,NULL,NULL,86.00,NULL,"isosb. Br2/BrCl (aq)",151,RAPHAEL,2184,1988,"in 2M HClO4"
355.0,NULL,NULL,38.00,NULL,NULL,102,RAPHAEL,2184,1988,"in 2M HClO4"
355.0,NULL,NULL,37.00,1,NULL,102,"Wang et al",3777,1994,"cited by Cooper,2067(1993) val.diferem"
355.0,NULL,NULL,NULL,NULL,"Mon. max.",66,KATZIN,392,1953,"he cites the range from 350 to 360 nm"
355.0,NULL,NULL,NULL,NULL,"max. band I",242,"SUZUKI e KURODA",5915,1987,NULL
356.0,NULL,NULL,534.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
356.0,NULL,NULL,507.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
357.5,NULL,NULL,NULL,NULL,NULL,352,PORTER,5439,1951,"photographic plate"
358.0,0,0.0,5705.00,NULL,"max. band III",241,RIORDAN,6539,2005,"value determined by the author"
358.0,0,NULL,1250.00,NULL,max,245,SANT'ANNA,5806,2012,"chlorate-chloride kinetics, citing Kieffer,2926(1968)"
358.0,0,NULL,1250.00,NULL,max.,245,SANT'ANNA,6064,2017,"chlorate-HNO2 kinetics, citing Kieffer,2926(1968)"
358.0,NULL,NULL,1230.00,NULL,"max between 355 and 360 nm",245,ROSENBLATT,6045,1963,"titration with iodide"
358.0,NULL,NULL,1050.00,NULL,NULL,245,"RABAI e KOVACS",4140,2001,NULL
358.0,NULL,NULL,810.00,NULL,NULL,105,"Cooper, Margerum",2067,1993,"citing Wang,3777(1994); values ​​differ"
358.0,NULL,NULL,512.00,NULL,"max. band III",241,"GOMES & DOUGLAS FRANCO",5436,1993,NULL
358.0,NULL,NULL,502.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
358.0,NULL,NULL,499.00,NULL,"max. band III",241,Arakaki,5460,1999,"in pH 1.1 adjusted with H2SO4, I = 0.09 M"
358.0,NULL,NULL,476.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
358.0,NULL,NULL,335.00,NULL,NULL,102,"Cooper, Margerum",2067,1993,"citing Wang,3777(1994); values ​​differ"
358.0,0,NULL,335.00,NULL,NULL,102,SANT'ANNA,5806,2012,"chlorate-chloride kinetics"
358.0,0,NULL,81.00,NULL,NULL,105,SANT'ANNA,5806,2012,"chlorate-chloride kinetics"
358.0,0,NULL,52.00,NULL,"max. band III",241,SANT'ANNA,6314,2014,"chlorate-iodine-ac nitrous clock reaction"
358.0,0,NULL,51.00,NULL,"max. band III",241,SANT'ANNA,6314,2014,"chlorate-HNO2 kinetics, citing Gomes,5436(1993)"
358.0,27933,0.0,NULL,NULL,"max. band III",241,RIORDAN,6539,2005,"one of the top 10 but gives the ref. wrong (gas phase)"
358.5,NULL,NULL,1250.00,3,max.,245,"KIEFFER & GORDON",2926,1968,NULL
359.0,0,0.0,1277.00,9,NULL,245,QUIROGA,6533,2005,"citing Kieffer and Gordon,2926(1968); but does not have that value in this ref."
359.0,NULL,NULL,1230.00,10,NULL,245,"FURMAN & MARGERUM",4258,1998,NULL
360.0,NULL,NULL,126000.00,NULL,max.,245,CHEN,4492,1967,NULL
360.0,NULL,NULL,115000.00,NULL,NULL,245,"HONG, LENZI & RAPSON",3592,1967,"citing LENZI's thesis (1965)"
360.0,NULL,NULL,115000.00,NULL,NULL,245,"LENZI e RAPSON",4429,1968,NULL
360.0,NULL,NULL,13150.00,NULL,NULL,662,BELLUCCI,2130,1989,"by deconvolution"
360.0,NULL,NULL,9900.00,NULL,NULL,410,LIN,5901,2011,NULL
360.0,NULL,NULL,8200.00,NULL,NULL,410,SUTTON,1829,1965,"pg.61, quoted by Buxton, 1337(1966)"
360.0,NULL,NULL,2600.00,NULL,NULL,551,BARAT,3872,1972,"iodate alkaline medium pulse radiolysis"
360.0,NULL,NULL,1540.00,NULL,NULL,661,BELLUCCI,2130,1989,"by deconvolution"
360.0,NULL,NULL,1242.00,2,NULL,245,"KIEFFER & GORDON",2926,1968,NULL
360.0,NULL,NULL,1240.00,NULL,NULL,245,EMMENEGGER,4460,1967,NULL
360.0,NULL,NULL,1220.00,NULL,NULL,245,"NICOSON ... MARGERUM",4852,2003,"did not give details"
360.0,NULL,NULL,1200.00,NULL,NULL,245,STANBURY,5917,1988,"citing another ref. from him"
360.0,NULL,NULL,1050.00,NULL,NULL,245,"RABAI e BECK",975,1987,NULL
360.0,NULL,NULL,807.00,NULL,NULL,152,RAPHAEL,2184,1988,"in 2M HClO4"
360.0,NULL,NULL,750.00,NULL,"not a max.",228,"LEDNICKY e STANBURY",4762,1983,"use this lambda to compare with ClO2"
360.0,NULL,NULL,470.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
360.0,NULL,NULL,448.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
360.0,NULL,NULL,300.00,NULL,NULL,309,BARAT,3872,1972,"concludes it is IO4(•2-) with another epsilon, half-neutral pulse radiolysis of IO3-"
360.0,NULL,NULL,280.00,NULL,NULL,152,CERCEK,1483,1965,"from graphic"
360.0,0,NULL,160.00,NULL,"log(epsilon) = 2,2",180,FARKAS,1438,1948,"estimated from the graph in log(epsilon)"
360.0,NULL,NULL,155.00,NULL,NULL,180,LEE,710,1971,NULL
360.0,NULL,NULL,131.00,NULL,NULL,146,GALAL-GORCHEV,1019,1965,"n 0.1 M HClO4, from the graph"
360.0,NULL,NULL,129.00,NULL,NULL,180,GALAL-GORCHEV,1019,1965,"in KOH 0.1 M, from the chart"
360.0,NULL,NULL,114.00,NULL,NULL,146,BETTS,839,1951,"in HClO4 1.66 M, from the graph"
360.0,NULL,NULL,109.00,NULL,NULL,146,RAPHAEL,2184,1988,"in 2M HClO4"
360.0,NULL,NULL,87.00,NULL,NULL,105,RAPHAEL,2184,1988,"in 2M HClO4"
360.0,NULL,NULL,81.00,NULL,NULL,151,RAPHAEL,2184,1988,"in 2M HClO4"
360.0,NULL,NULL,60.00,NULL,NULL,660,BELLUCCI,2130,1989,"by deconvolution"
360.0,NULL,NULL,44.60,NULL,NULL,195,LEE,710,1971,NULL
360.0,NULL,NULL,29.00,NULL,NULL,102,RAPHAEL,2184,1988,"in 2M HClO4"
360.0,NULL,NULL,16.00,NULL,NULL,165,BETTS,839,1951,"in HClO4 1.66 M, from the graph"
360.0,0,NULL,15.00,NULL,"log(epsilon) = 1,18",165,FARKAS,1438,1948,"estimated from the graph in log(epsilon)"
360.0,NULL,NULL,13.00,NULL,NULL,165,RAPHAEL,2184,1988,"in 2M HClO4"
360.0,NULL,NULL,12.00,NULL,NULL,165,GALAL-GORCHEV,1019,1965,"in HClO4 1E-4 M, from graph"
360.0,NULL,NULL,NULL,NULL,NULL,245,"Rueben, seminario",0,1990,NULL
360.0,0,NULL,NULL,NULL,max.,410,CERCEK,1483,1964,"pulse radiolysis"
360.0,NULL,NULL,NULL,NULL,NULL,245,ORBAN,902,1983,NULL
360.0,NULL,NULL,NULL,NULL,max.,245,KLÄNING,4147,1984,"photolysis of NaClO2(aq) without O2"
360.2,NULL,NULL,910.00,NULL,NULL,492,AICKIN,1452,1939,NULL
360.2,NULL,NULL,717.00,NULL,NULL,457,AICKIN,1452,1939,NULL
360.2,NULL,NULL,636.00,NULL,NULL,489,AICKIN,1452,1939,NULL
360.2,NULL,NULL,586.00,NULL,NULL,456,AICKIN,1452,1939,NULL
360.2,NULL,NULL,292.00,NULL,NULL,490,AICKIN,1452,1939,NULL
360.2,NULL,NULL,222.00,NULL,NULL,491,AICKIN,1452,1939,NULL
360.2,NULL,NULL,111.00,NULL,NULL,146,AICKIN,1452,1939,"in 1M H2SO4"
361.5,NULL,NULL,NULL,NULL,NULL,352,PORTER,5439,1951,"photographic plate"
362.0,NULL,NULL,853.00,NULL,"max of band 4",152,WANG...MARGERUM,3777,1994,"band at 266 would be the sum of the bands at 261.4, 272.7 and 281.9"
362.0,NULL,NULL,439.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
362.0,NULL,NULL,417.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
363.0,NULL,NULL,750000.00,NULL,"n~ max",77,"29 do Paquette,CJC:2284(1986)",0,1986,NULL
363.0,NULL,NULL,19000.00,NULL,"n~ max",66,"29 do Paquette,CJC:2284(1986)",0,1986,NULL
363.0,NULL,NULL,60.00,NULL,NULL,47,WREN,683,1986,NULL
364.0,NULL,NULL,859.00,NULL,NULL,492,AICKIN,1452,1939,NULL
364.0,NULL,NULL,785.00,NULL,NULL,457,AICKIN,1452,1939,NULL
364.0,NULL,NULL,712.00,NULL,NULL,489,AICKIN,1452,1939,NULL
364.0,NULL,NULL,709.00,NULL,NULL,456,AICKIN,1452,1939,NULL
364.0,NULL,NULL,411.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
364.0,NULL,NULL,390.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
364.0,NULL,NULL,246.00,NULL,NULL,490,AICKIN,1452,1939,NULL
364.0,NULL,NULL,213.00,NULL,NULL,491,AICKIN,1452,1939,NULL
364.0,NULL,NULL,120.00,NULL,NULL,146,AICKIN,1452,1939,"in 1M H2SO4"
365.0,NULL,NULL,8800.00,NULL,NULL,321,LIU,5149,2003,"citing G.L.Hug's book (1981)"
365.0,NULL,NULL,58.00,NULL,NULL,47,"PALMER,IC:928(1986)",9,1986,NULL
365.0,NULL,NULL,31.00,NULL,max.,47,HAIMOVICH,283,1965,NULL
365.6,NULL,NULL,NULL,NULL,NULL,352,PORTER,5439,1951,"photographic plate"
366.0,NULL,NULL,382.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
366.0,NULL,NULL,363.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
368.0,NULL,NULL,355.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
368.0,NULL,NULL,336.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
368.0,NULL,NULL,9.00,NULL,"~372 -4 Douglas",699,PORTER,5439,1951,"photographic plate"
368.4,NULL,NULL,906.00,NULL,NULL,457,AICKIN,1452,1939,NULL
368.4,NULL,NULL,885.00,NULL,NULL,456,AICKIN,1452,1939,NULL
368.4,NULL,NULL,708.00,NULL,NULL,492,AICKIN,1452,1939,NULL
368.4,NULL,NULL,231.00,NULL,NULL,490,AICKIN,1452,1939,NULL
368.4,NULL,NULL,200.00,NULL,NULL,491,AICKIN,1452,1939,NULL
368.4,NULL,NULL,130.00,NULL,NULL,146,AICKIN,1452,1939,"in 1M H2SO4"
370.0,NULL,NULL,18980.00,NULL,NULL,66,PALMER,149,1984,NULL
370.0,NULL,NULL,9010.00,NULL,NULL,662,BELLUCCI,2130,1989,"by deconvolution"
370.0,NULL,NULL,1150.00,NULL,NULL,661,BELLUCCI,2130,1989,"by deconvolution"
370.0,NULL,NULL,1140.00,NULL,max.,712,RABAI,1429,1992,"quoted by Cseko ic-2018-01386m"
370.0,NULL,NULL,1040.00,NULL,NULL,245,BURKE,4544,1993,NULL
370.0,NULL,NULL,890.00,NULL,"not a max.",245,"LENZI & RAPSON",4438,1962,NULL
370.0,NULL,NULL,714.00,NULL,NULL,152,RAPHAEL,2184,1988,"in 2M HClO4"
370.0,NULL,NULL,329.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
370.0,NULL,NULL,313.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
